encoder_family,input_representation,intervention_input_column,combination_strategy,pair_task_query_table,pair_task_qrels_table,pair_task_corpus_table,surrogate_task_query_table,surrogate_task_qrels_table,surrogate_task_corpus_table,biomarker_semantic_task_query_table,biomarker_semantic_task_qrels_table,biomarker_semantic_task_corpus_table,training_triplets_pair,training_triplets_surrogate,training_triplets_biomarker_semantic,recommended_metrics
ChemBERT,smiles,canonical_smiles,single_direct_or_component_mean_pool,molecular_queries.csv,molecular_pair_qrels.csv,pair_texts.csv,molecular_queries.csv,molecular_surrogate_qrels.csv,surrogate_texts.csv,molecular_queries.csv,molecular_biomarker_semantic_qrels.csv,biomarker_semantic_texts.csv,molecule_to_pair_triplets.csv,molecule_to_surrogate_triplets.csv,molecule_to_biomarker_semantic_triplets.csv,MRR@10|Recall@5|nDCG@10
ChemBERT,smiles,connectivity_smiles,single_direct_or_component_mean_pool,molecular_queries.csv,molecular_pair_qrels.csv,pair_texts.csv,molecular_queries.csv,molecular_surrogate_qrels.csv,surrogate_texts.csv,molecular_queries.csv,molecular_biomarker_semantic_qrels.csv,biomarker_semantic_texts.csv,molecule_to_pair_triplets.csv,molecule_to_surrogate_triplets.csv,molecule_to_biomarker_semantic_triplets.csv,MRR@10|Recall@5|nDCG@10
MolFormer,smiles,canonical_smiles,single_direct_or_component_mean_pool,molecular_queries.csv,molecular_pair_qrels.csv,pair_texts.csv,molecular_queries.csv,molecular_surrogate_qrels.csv,surrogate_texts.csv,molecular_queries.csv,molecular_biomarker_semantic_qrels.csv,biomarker_semantic_texts.csv,molecule_to_pair_triplets.csv,molecule_to_surrogate_triplets.csv,molecule_to_biomarker_semantic_triplets.csv,MRR@10|Recall@5|nDCG@10
MolFormer,smiles,connectivity_smiles,single_direct_or_component_mean_pool,molecular_queries.csv,molecular_pair_qrels.csv,pair_texts.csv,molecular_queries.csv,molecular_surrogate_qrels.csv,surrogate_texts.csv,molecular_queries.csv,molecular_biomarker_semantic_qrels.csv,biomarker_semantic_texts.csv,molecule_to_pair_triplets.csv,molecule_to_surrogate_triplets.csv,molecule_to_biomarker_semantic_triplets.csv,MRR@10|Recall@5|nDCG@10
Selformer,selfies,selfies_sequence,single_direct_or_component_mean_pool,molecular_queries.csv,molecular_pair_qrels.csv,pair_texts.csv,molecular_queries.csv,molecular_surrogate_qrels.csv,surrogate_texts.csv,molecular_queries.csv,molecular_biomarker_semantic_qrels.csv,biomarker_semantic_texts.csv,molecule_to_pair_triplets.csv,molecule_to_surrogate_triplets.csv,molecule_to_biomarker_semantic_triplets.csv,MRR@10|Recall@5|nDCG@10
